id,name,group,type
1,almond_milk,dairy,milk
2,soy_milk,dairy,milk
3,whole_milk,dairy,milk
4,banana,fruit,fruit
5,1_percent_milk,dairy,milk
6,2_percent_milk,dairy,milk
7,skim_milk,dairy,milk
8,yogurt,dairy,yogurt
9,cheddar_cheese,dairy,cheese
10,gouda_cheese,dairy,cheese
11,mozzerella_cheese,dairy,cheese
12,brie_cheese,dairy,cheese
13,camembert,dairy,cheese
14,ipa,alcohol,beer
15,stout,alcohol,beer
16,pale_ale,alcohol,beer
17,red_wine,alcohol,wine
18,white_whine,alcohol,wine
19,steaktips,produce,meat
20,porkribs,produce,meat
21,chicken,produce,fowl
22,duck,produce,fowl
23,salmon,produce,seafood
24,tuna,produce,seafood
25,shrimp,produce,seafood
26,crab,produce,seafood
27,olive_oil,oil,oil
28,vinegar,oil,oil
29,tomato_paste,vegetable,paste
30,quiche,baked,pastry
